"cm_id","X_Easting","Y_Northing","timestamp","group"
"71",1430033.79877047,5083180.20045526,2020-02-07 04:32:23,55
"71",1430033.79877047,5083180.20045526,2020-02-07 04:37:13,56
"71",1430033.79877047,5083180.20045526,2020-02-07 04:57:03,60
"71",1430026.28229274,5083187.22947312,2020-02-07 05:02:22,61
"71",1430031.37576877,5083178.35886714,2020-02-07 05:07:13,62
"71",1430030.06803526,5083182.65973306,2020-02-07 05:12:02,63
"71",1430030.06803526,5083182.65973306,2020-02-07 05:17:21,64
"71",1430030.06803526,5083182.65973306,2020-02-07 05:22:12,65
"71",1430030.06803526,5083182.65973306,2020-02-07 05:27:02,66
"71",1430030.06803526,5083182.65973306,2020-02-07 05:32:22,67
"71",1430030.06803526,5083182.65973306,2020-02-07 05:37:13,68
"71",1430030.06803526,5083182.65973306,2020-02-07 05:42:03,69
"71",1430030.53411665,5083164.7763245,2020-02-07 05:52:13,71
"71",1430030.53411665,5083164.7763245,2020-02-07 05:57:02,72
"71",1430030.53411665,5083164.7763245,2020-02-07 06:02:21,73
"71",1430039.83232398,5083181.1357643,2020-02-07 06:07:11,74
"71",1430039.83232398,5083181.1357643,2020-02-07 06:12:01,75
"71",1430039.83232398,5083181.1357643,2020-02-07 06:17:20,76
"71",1430048.58702996,5083172.471712,2020-02-07 06:22:11,77
"71",1430048.58702996,5083172.471712,2020-02-07 06:27:00,78
"71",1430048.58702996,5083172.471712,2020-02-07 06:32:19,79
"71",1430087.19009729,5083137.9087806,2020-02-07 06:42:30,81
"71",1430087.19009729,5083137.9087806,2020-02-07 06:47:22,82
"71",1430087.19009729,5083137.9087806,2020-02-07 06:52:12,83
"71",1430087.19009729,5083137.9087806,2020-02-07 06:57:01,84
"75",1430037.07791642,5083195.06919828,2020-02-07 00:02:28,1
"75",1430037.07791642,5083195.06919828,2020-02-07 00:07:19,2
"75",1430037.07791642,5083195.06919828,2020-02-07 00:12:08,3
"75",1430037.07791642,5083195.06919828,2020-02-07 00:17:24,4
"75",1430037.07791642,5083195.06919828,2020-02-07 00:22:14,5
"75",1430037.07791642,5083195.06919828,2020-02-07 00:27:04,6
"75",1430037.07791642,5083195.06919828,2020-02-07 00:32:22,7
"75",1430037.07791642,5083195.06919828,2020-02-07 00:37:11,8
"75",1430037.07791642,5083195.06919828,2020-02-07 00:42:01,9
"75",1430037.07791642,5083195.06919828,2020-02-07 00:47:22,10
"75",1430037.07791642,5083195.06919828,2020-02-07 00:52:11,11
"75",1430037.07791642,5083195.06919828,2020-02-07 00:57:28,12
"75",1430037.07791642,5083195.06919828,2020-02-07 01:02:19,13
"75",1430037.07791642,5083195.06919828,2020-02-07 01:07:09,14
"75",1430037.07791642,5083195.06919828,2020-02-07 01:12:27,15
"75",1430037.07791642,5083195.06919828,2020-02-07 01:17:18,16
"75",1430037.07791642,5083195.06919828,2020-02-07 01:22:07,17
"75",1430037.07791642,5083195.06919828,2020-02-07 01:27:26,18
"75",1430037.07791642,5083195.06919828,2020-02-07 01:32:16,19
"75",1430037.07791642,5083195.06919828,2020-02-07 01:37:07,20
"75",1430037.07791642,5083195.06919828,2020-02-07 01:42:26,21
"75",1430037.07791642,5083195.06919828,2020-02-07 01:47:16,22
"75",1430037.16475987,5083191.73688622,2020-02-07 01:52:06,23
"75",1430022.86570399,5083180.69358018,2020-02-07 01:57:25,24
"75",1430022.86570399,5083180.69358018,2020-02-07 02:02:16,25
"75",1430022.86570399,5083180.69358018,2020-02-07 02:07:04,26
"75",1430022.86570399,5083180.69358018,2020-02-07 02:12:23,27
"75",1430022.86570399,5083180.69358018,2020-02-07 02:17:13,28
"75",1430039.21284944,5083204.90625701,2020-02-07 02:37:28,32
"75",1430039.21284944,5083204.90625701,2020-02-07 02:42:18,33
"75",1430039.21284944,5083204.90625701,2020-02-07 02:47:08,34
"75",1430039.21284944,5083204.90625701,2020-02-07 02:52:27,35
"75",1430039.21284944,5083204.90625701,2020-02-07 02:57:17,36
"75",1430039.21284944,5083204.90625701,2020-02-07 03:02:05,37
"75",1430039.21284944,5083204.90625701,2020-02-07 03:07:25,38
"75",1430039.21284944,5083204.90625701,2020-02-07 03:12:15,39
"75",1430049.37372476,5083188.16471543,2020-02-07 03:17:05,40
"75",1430049.37372476,5083188.16471543,2020-02-07 03:22:23,41
"75",1430044.27158336,5083197.36856608,2020-02-07 03:32:03,43
"75",1430044.27158336,5083197.36856608,2020-02-07 03:37:22,44
"75",1430044.27158336,5083197.36856608,2020-02-07 03:42:11,45
"75",1430024.91086475,5083193.97403362,2020-02-07 03:47:29,46
"75",1430043.08832673,5083196.89312043,2020-02-07 03:52:18,47
"75",1430042.75543926,5083209.66698314,2020-02-07 03:57:08,48
"75",1430018.857035,5083193.81625054,2020-02-07 04:02:28,49
"75",1430032.26234388,5083193.2764101,2020-02-07 04:07:19,50
"75",1430032.26234388,5083193.2764101,2020-02-07 04:12:10,51
"75",1430032.26234388,5083193.2764101,2020-02-07 04:17:01,52
"75",1430039.78600804,5083182.91299742,2020-02-07 04:22:20,53
"75",1430042.81043801,5083207.55651888,2020-02-07 04:32:28,55
"75",1430042.81043801,5083207.55651888,2020-02-07 04:37:20,56
"75",1430047.74759662,5083204.68406208,2020-02-07 04:57:09,60
"75",1430047.74759662,5083204.68406208,2020-02-07 05:02:27,61
"75",1430047.74759662,5083204.68406208,2020-02-07 05:07:18,62
"75",1430047.74759662,5083204.68406208,2020-02-07 05:12:07,63
"75",1430047.74759662,5083204.68406208,2020-02-07 05:17:27,64
"75",1430047.74759662,5083204.68406208,2020-02-07 05:22:22,65
"75",1430044.51473466,5083188.03809231,2020-02-07 05:27:12,66
"75",1430044.51473466,5083188.03809231,2020-02-07 05:32:04,67
"75",1430044.51473466,5083188.03809231,2020-02-07 05:37:24,68
"75",1430044.51473466,5083188.03809231,2020-02-07 05:42:14,69
"75",1430044.51473466,5083188.03809231,2020-02-07 05:47:04,70
